time,phasePid,sfCpuPct,sfWsMB,sfPrivMB,sfGpuPct,sfGpuMemMB,wvCount,wvCpuPct,wvWsMB,wvPrivMB,wvGpuPct,wvGpuMemMB
2026-07-19 12:34:43.371,33480,24.48,8501.6,9665.1,93.94,1468.2,0,0,0,0,0,0
2026-07-19 12:34:46.636,33480,24.63,8444.7,9607.6,94.42,1468.2,0,0,0,0,0,0
2026-07-19 12:34:50.012,33480,18.74,8381.4,9544.9,80.26,1468.2,0,0,0,0,0,0
2026-07-19 12:34:53.190,33480,22.62,8379.9,9543.5,89.83,1468.2,0,0,0,0,0,0
2026-07-19 12:34:56.569,33480,22.4,8367.4,9530.8,89.37,1468.3,0,0,0,0,0,0
2026-07-19 12:34:59.868,33480,23.22,8367.4,9530.5,88.8,1468.3,0,0,0,0,0,0
2026-07-19 12:35:03.245,33480,22.96,8367.3,9530.1,88.57,1468.2,0,0,0,0,0,0
2026-07-19 12:35:06.439,33480,22.29,8367.5,9530,89.31,1468.2,0,0,0,0,0,0
2026-07-19 12:35:09.825,33480,24.17,8367.5,9529.5,89.15,1468.2,0,0,0,0,0,0
2026-07-19 12:35:13.062,33480,23.64,8367.6,9529.5,89.38,1473.1,0,0,0,0,0,0
2026-07-19 12:35:16.394,33480,23.95,8365.4,9534.4,94.36,1469.3,0,0,0,0,0,0
2026-07-19 12:35:19.613,33480,27.39,8423.7,9593.2,94.79,1533.5,0,0,0,0,0,0
2026-07-19 12:35:22.967,33480,28.42,8491.4,9723,93.96,1533.1,0,0,0,0,0,0
2026-07-19 12:35:26.235,33480,23.83,8483.1,9718,94.33,1533.1,0,0,0,0,0,0
2026-07-19 12:35:29.693,33480,29.07,8424.5,9658.8,94.47,1533,0,0,0,0,0,0
2026-07-19 12:35:32.915,33480,25.22,8365.3,9599.3,94.33,1269.3,0,0,0,0,0,0
2026-07-19 12:35:36.225,33480,29.53,8507.1,9603.5,94.53,1533,0,0,0,0,0,0
2026-07-19 12:35:39.470,33480,26.85,8442.3,9666.6,94.43,1533,0,0,0,0,0,0
2026-07-19 12:35:42.792,33480,19.42,8388,9612.5,87.15,1533.5,0,0,0,0,0,0
2026-07-19 12:35:45.650,33480,15.05,8387.8,9615.6,89.74,1535.5,0,0,0,0,0,0
2026-07-19 12:35:49.070,33480,16.15,8382,9610.3,89.12,1535.5,0,0,0,0,0,0
2026-07-19 12:35:52.572,33480,14.58,8381.9,9610.2,86.96,1535.5,0,0,0,0,0,0
2026-07-19 12:35:56.227,33480,12.99,8323.8,9549.4,89.28,1535.5,0,0,0,0,0,0
2026-07-19 12:35:59.911,33480,13.37,8327.7,9550.9,86.24,1535.5,0,0,0,0,0,0
2026-07-19 12:36:03.417,33480,12.84,8326.3,9552.6,87.27,1535.5,0,0,0,0,0,0
2026-07-19 12:36:06.959,33480,13.32,8324.6,9548.8,88.4,1535.5,0,0,0,0,0,0
2026-07-19 12:36:10.586,33480,11.21,8322.8,9549.3,89.32,1535.5,0,0,0,0,0,0
2026-07-19 12:36:13.530,33480,9.26,8320.8,9548.6,90.3,1535.5,0,0,0,0,0,0
2026-07-19 12:36:16.761,33480,9.78,8322.3,9548.8,88.79,1535.5,0,0,0,0,0,0
2026-07-19 12:36:20.071,33480,11.58,8322.1,9548.6,87.67,1535.5,0,0,0,0,0,0
2026-07-19 12:36:23.784,33480,12.45,8323.4,9549.4,88.14,1535.5,0,0,0,0,0,0
2026-07-19 12:36:27.049,33480,11.05,8323.6,9549.2,89.1,1535.5,0,0,0,0,0,0
2026-07-19 12:36:29.976,33480,8.69,8321.1,9548,89.62,1535.5,0,0,0,0,0,0
2026-07-19 12:36:32.802,33480,8.5,8324.5,9549.8,90.16,1535.5,0,0,0,0,0,0
2026-07-19 12:36:35.686,33480,7.96,8333.7,9561.2,89.91,1535.5,0,0,0,0,0,0
2026-07-19 12:36:38.474,33480,8.76,8333.7,9561.2,88.86,1535.5,0,0,0,0,0,0
2026-07-19 12:36:41.422,33480,9.36,8333.7,9561.2,91.48,1535.5,0,0,0,0,0,0
2026-07-19 12:36:44.579,33480,11.48,8333.7,9561.2,92.46,1535.5,0,0,0,0,0,0
2026-07-19 12:36:48.194,33480,12.08,8333.4,9560.7,84.49,1535.5,0,0,0,0,0,0
2026-07-19 12:36:51.420,33480,11.05,8333.5,9560.7,79.61,1535.5,0,0,0,0,0,0
2026-07-19 12:36:54.781,33480,9.76,8328.5,9555.7,89.23,1535.5,0,0,0,0,0,0
2026-07-19 12:36:57.815,33480,15.42,8324.7,9552.2,94.21,1535,0,0,0,0,0,0
2026-07-19 12:37:01.070,33480,4.49,8388.5,9620,0,0,0,0,0,0,0,0
# orphans_after_exit=0
